Дата;Температура;Осадки;Давление;Ветер;Скорость ветра;
1 января;0,7;15,2;748;ЮВ;4,2;Ответ на первый вопрос:
2 января;0,4;4,6;751;В;4,7;Ответ на второй вопрос:
3 января;-1,9;1,4;747;С;2,4;
4 января;-7,7;0,2;752;З;4,7;
5 января;-3,6;0;755;ЮЗ;6,9;
6 января;-6,9;0;758;Ю;8,7;
7 января;-7,9;0;755;З;6,2;
8 января;-8,6;0;752;СЗ;6,9;
9 января;-6,3;0;752;СЗ;8,1;
10 января;-10,9;1,3;749;СЗ;7,2;
11 января;-6,5;2,2;750;З;5,3;
12 января;-4,2;3,5;750;СЗ;3,9;
13 января;-2,9;1,7;753;З;2,8;
14 января;-4,8;7,2;757;СЗ;2,9;
15 января;-6,6;1;755;З;4,5;
16 января;-8,7;2;756;С;4,9
17 января;-10,8;0;758;В;7,7
18 января;-13,5;0;761;В;4,8
19 января;-13,4;0;762;ЮВ;6,9
20 января;-12,4;0;761;Ю;5,7
21 января;-13,2;0;762;З;6
22 января;-14,3;0;759;З;6,6
23 января;-9,4;0;760;ЮЗ;4,7
24 января;-7;6;763;Ю;4,9
25 января;-1,5;0;766;Ю;7,5
26 января;-1,6;0;763;ЮВ;4,6
27 января;0,4;10,6;760;Ю;7,1
28 января;0,1;4,5;757;З;5,9
29 января;-1,8;0,6;755;Ю;4,6
30 января;1,1;0,8;756;ЮВ;5,9
31 января;1,6;4,4;760;ЮВ;6,3
1 февраля;-6,3;3,1;757;В;6,2
2 февраля;-3,4;4;752;С;7,5
3 февраля;-0,3;1,8;748;СВ;6,4
4 февраля;-6,3;0,2;746;СЗ;4,3
5 февраля;-2;2;747;СЗ;6,5
6 февраля;-0,5;2,6;750;СЗ;8,9
7 февраля;0,5;9,5;749;СЗ;7,3
8 февраля;-3,6;0,4;753;СЗ;6,4
9 февраля;-3,9;0,8;750;С;6,1
10 февраля;-6;0;746;СЗ;5,2
11 февраля;-2,1;0;743;СЗ;6,8
12 февраля;-3,3;0;743;СЗ;7,1
13 февраля;-2,6;9,7;741;СЗ;7,3
14 февраля;1,7;0;745;С;7,5
15 февраля;1,4;0;749;СВ;6,4
16 февраля;1;0;750;СЗ;7,9
17 февраля;1,2;0,1;749;З;8,3
18 февраля;1,3;2;746;З;9,8
19 февраля;2,1;0,4;744;ЮЗ;8,3
20 февраля;0,6;0;742;Ю;6
21 февраля;-1,7;0;740;ЮЗ;3,1
22 февраля;0,5;0,5;742;СЗ;4,1
23 февраля;2,3;1;741;ЮЗ;2,1
24 февраля;2;2,3;742;ЮЗ;2,8
25 февраля;1,8;0;743;ЮЗ;3,6
26 февраля;1,6;13,3;747;Ю;5
27 февраля;1,1;0;748;Ю;3,2
28 февраля;-0,8;0;746;Ю;4,6
1 марта;1,7;4,6;742;ЮЗ;6,5
2 марта;4,5;0,8;743;Ю;3,5
3 марта;3,8;0;746;ЮЗ;2
4 марта;2,6;0;750;Ю;0,9
5 марта;4,7;1,6;749;ЮЗ;3
6 марта;3,2;0;747;Ю;2,5
7 марта;2;0;751;ЮЗ;2,2
8 марта;0,9;0;753;СЗ;0,1
9 марта;2,5;0;753;С;0,1
10 марта;3,1;0;750;З;3
11 марта;0,2;0;752;С;0,9
12 марта;-6,8;0;754;СЗ;0,1
13 марта;-8,2;0;758;СВ;2,9
14 марта;-4,6;0;756;В;0,6
15 марта;-2,7;0;757;ЮВ;2,1
16 марта;-4;0;759;В;0,1
17 марта;-2,1;0;759;В;2,4
18 марта;-1,2;0,3;762;СВ;1,1
19 марта;0,4;1,1;760;В;0,8
20 марта;1;0;756;Ю;1,1
21 марта;2,8;0,7;760;З;0,8
22 марта;1,8;0,4;761;ЮЗ;1,3
23 марта;0,2;0,4;764;Ю;4
24 марта;2,4;0;766;В;3,4
25 марта;3,8;0;762;В;0,6
26 марта;3;2,4;762;Ю;0,3
27 марта;0,8;0,8;766;ЮВ;0,1
28 марта;1,3;1,2;764;СВ;2,6
29 марта;-0,1;0;767;СВ;5,1
30 марта;0;0;762;С;3,2
31 марта;1,2;0;762;СВ;3,1
1 апреля;0;6,7;759;СВ;3
2 апреля;0,6;4,5;756;СВ;0,9
3 апреля;1,8;2,6;756;СВ;2,9
4 апреля;0,6;5,1;761;СВ;5,1
5 апреля;2;5;763;В;6,8
6 апреля;1,6;0;765;В;4,7
7 апреля;1,8;0;767;В;4,5
8 апреля;2,2;2,2;772;Ю;6,9
9 апреля;3,2;9;776;Ю;4,8
10 апреля;3,2;0,6;775;ЮВ;2
11 апреля;10,6;3,5;774;В;0,1
12 апреля;9,6;0,1;770;В;0,1
13 апреля;6,5;0;767;В;2,6
14 апреля;4,4;0;770;СВ;1
15 апреля;6,2;0;774;СВ;0,8
16 апреля;8,8;0;773;СВ;1,3
17 апреля;11,6;0;772;СВ;0,2
18 апреля;14,3;0;775;С;2,2
19 апреля;17,5;0;777;С;4,4
20 апреля;17,9;0;775;СВ;5
21 апреля;16,1;0;772;В;2,3
22 апреля;17,4;0;772;ЮВ;2,6
23 апреля;17;0;770;В;2,6
24 апреля;17,2;0;773;Ю;5,4
25 апреля;18,3;0;776;Ю;3,1
26 апреля;17,2;0,7;778;Ю;3,3
27 апреля;12,5;1;780;З;1,7
28 апреля;14,8;1,8;780;ЮЗ;1,3
29 апреля;12,3;0,4;780;З;0,9
30 апреля;6,3;0;780;СЗ;0,1
1 мая;3,7;0;775;З;1,1
2 мая;1,1;0;772;Ю;1,8
3 мая;3,6;0;772;ЮЗ;1
4 мая;9,1;0;775;ЮВ;2,1
5 мая;10,5;1,5;773;ЮЗ;1,5
6 мая;8,4;0;775;З;3,8
7 мая;9,5;0;779;СЗ;0,8
8 мая;12,2;0;778;З;0,5
9 мая;12,4;0,3;778;СЗ;2,7
10 мая;9,9;12,9;780;ЮЗ;4,2
11 мая;3,3;5,2;776;З;1,8
12 мая;6,5;0;777;С;3,6
13 мая;10,8;0;774;З;6,1
14 мая;17,8;0,3;777;Ю;5,1
15 мая;20,4;0,3;777;ЮЗ;7,6
16 мая;10,9;3,8;772;ЮВ;8,4
17 мая;10;0;774;СВ;9,7
18 мая;13,2;0;770;ЮВ;6,9
19 мая;15,5;0;771;ЮВ;7,2
20 мая;17,8;0,3;768;ЮВ;8,9
21 мая;19,6;0;772;В;6,5
22 мая;20,9;0;771;ЮВ;4
23 мая;18,1;0,4;773;В;3,6
24 мая;19,1;0;774;ЮВ;6,5
25 мая;23,5;0;778;ЮЗ;7,8
26 мая;23,2;0;780;Ю;8,9
27 мая;22,7;0,1;777;ЮЗ;6,5
28 мая;24;0;773;Ю;4,8
29 мая;24,2;0;776;В;6,4
30 мая;23,2;0;775;ЮВ;8,2
31 мая;23,5;0;773;Ю;9,1
1 июня;22,2;1,2;770;ЮВ;8,4
2 июня;23,1;0;774;СВ;8,4
3 июня;23,3;0;778;СЗ;8,3
4 июня;21,7;0;780;З;9,4
5 июня;19,1;0;780;З;7,9
6 июня;13,5;0;776;С;7,1
7 июня;16,4;0;772;СВ;5,6
8 июня;19;0;769;В;4,6
9 июня;22,2;0;773;ЮВ;1,9
10 июня;22;0;773;ЮЗ;3,9
11 июня;22,7;0;771;ЮЗ;5,5
12 июня;21,3;34,1;768;Ю;7,9
13 июня;21,6;0;765;З;6,6
14 июня;24,1;0,3;761;Ю;7,3
15 июня;22,9;0;759;ЮЗ;5,5
16 июня;23,5;0;758;ЮЗ;7,6
17 июня;23,8;0;758;ЮЗ;7
18 июня;21,9;0;755;ЮЗ;7,7
19 июня;19,1;5,7;752;З;8,9
20 июня;17,8;0;751;ЮЗ;8,1
21 июня;13,6;19,8;750;ЮЗ;7,7
22 июня;14,5;4,8;751;З;6,9
23 июня;14,1;5,1;754;ЮЗ;8,4
24 июня;15,9;0,4;753;Ю;9,3
25 июня;17,7;0;756;ЮЗ;8,9
26 июня;19,5;0;753;Ю;9,2
27 июня;20,5;0,7;756;ЮЗ;8,8
28 июня;17,7;0;759;ЮЗ;9,1
29 июня;17,8;0;760;З;8,5
30 июня;18;0;759;СЗ;7,3
1 июля;16,9;0;758;С;8
2 июля;16,1;6;756;З;6,8
3 июля;14,6;0;751;З;5,4
4 июля;18,3;0;753;Ю;5,2
5 июля;21,3;0,1;756;ЮВ;4,8
6 июля;17,7;1,7;758;Ю;5,5
7 июля;16,2;1,7;755;ЮВ;8,3
8 июля;18,9;0;756;ЮЗ;7,8
9 июля;21,6;0;760;Ю;8,2
10 июля;18,5;0;763;Ю;6,1
11 июля;15,2;0;761;В;6,4
12 июля;16,1;0,6;758;В;4,3
13 июля;16,6;0;761;В;5,5
14 июля;20,1;0,4;764;В;5,1
15 июля;15,2;2,4;765;В;3,4
16 июля;12,7;0;761;С;3,9
17 июля;14,6;0;758;СВ;1,8
18 июля;17,6;0;754;С;1,9
19 июля;19,3;0;757;З;1,8
20 июля;16,9;17,2;758;С;0,8
21 июля;17,9;0;760;З;0,1
22 июля;19,9;0;765;ЮЗ;0,1
23 июля;22,2;0;768;Ю;2,2
24 июля;18,4;3,3;769;З;4,2
25 июля;16,4;10,3;770;ЮЗ;4,7
26 июля;18,9;0,1;765;ЮВ;7,5
27 июля;17,7;0;766;ЮВ;5,3
28 июля;14,9;8,2;765;СВ;6,6
29 июля;16,7;0;763;В;5,9
30 июля;18,6;0;761;ЮВ;5,9
31 июля;18;2,2;760;В;4,7
1 августа;17,9;0;762;В;5,9
2 августа;18,7;0;762;ЮВ;8,1
3 августа;19,1;0;760;Ю;9
4 августа;21,6;0;761;З;9
5 августа;18,6;17,8;758;З;6,1
6 августа;16,1;0,9;761;СЗ;3,4
7 августа;15,9;0;760;С;5,3
8 августа;17;8,2;758;В;7,5
9 августа;14;1,9;760;ЮВ;6,9
10 августа;13,3;0;765;Ю;6,7
11 августа;12,9;7,1;765;Ю;4,3
12 августа;12,1;0;766;З;6,9
13 августа;10,7;3,7;768;З;4,5
14 августа;10,7;0,5;769;СЗ;3,2
15 августа;14,3;0,4;769;З;4,4
16 августа;15,3;0;767;Ю;2
17 августа;16,2;0;768;ЮЗ;4
18 августа;18,6;0;767;Ю;3,4
19 августа;20,7;0;770;ЮЗ;1,8
20 августа;18,4;1,2;773;З;1,7
21 августа;14,1;0;769;ЮЗ;0,5
22 августа;13,1;0;768;ЮВ;1,5
23 августа;17,2;0;771;СВ;3,8
24 августа;20;0;766;СВ;5
25 августа;20,7;0;764;С;7,2
26 августа;21,5;0;766;СЗ;7,7
27 августа;19,4;0;764;С;8,5
28 августа;18,3;24,3;769;СВ;8
29 августа;17,1;0;770;С;9,1
30 августа;17,4;0;773;В;9,9
31 августа;19,7;0,1;769;В;9,2
1 сентября;19,3;0,1;765;ЮВ;8,2
2 сентября;22;0;762;В;9,5
3 сентября;23,4;0;762;С;7,9
4 сентября;21,2;0,5;759;СЗ;7,5
5 сентября;19,5;2;764;СЗ;7,9
6 сентября;17,4;0,6;760;СВ;8,8
7 сентября;15,8;12,9;759;ЮВ;7,9
8 сентября;17,8;9,6;762;В;9,5
9 сентября;16,9;0,5;759;ЮВ;9,3
10 сентября;16,6;0;757;В;8,5
11 сентября;17,3;0;761;Ю;8,2
12 сентября;15,6;4,9;757;ЮЗ;8,5
13 сентября;12,7;0;756;ЮЗ;5,5
14 сентября;10,2;0;751;З;5,2
15 сентября;8,3;0;747;ЮЗ;4
16 сентября;7,4;0;747;Ю;6,2
17 сентября;5,2;0;750;ЮВ;5,3
18 сентября;6,3;0;749;СВ;2,9
19 сентября;6,8;0;749;В;3,3
20 сентября;8,1;0;754;В;3,8
21 сентября;6,6;0;749;В;4,4
22 сентября;6,8;6,8;745;ЮВ;6,2
23 сентября;8,1;0;741;Ю;5,1
24 сентября;6,7;0;744;ЮЗ;2,5
25 сентября;9,2;0;742;ЮЗ;2,2
26 сентября;10,8;0;740;Ю;4,5
27 сентября;12,2;0;740;ЮЗ;1,5
28 сентября;12,8;0,6;744;Ю;3,1
29 сентября;10,9;3,1;744;Ю;3
30 сентября;12,8;5,9;745;Ю;4,7
1 октября;9,9;0,1;745;Ю;2
2 октября;9,3;0;749;Ю;2,1
3 октября;5,5;0;747;ЮЗ;3,2
4 октября;7,1;0;747;ЮВ;5,9
5 октября;9,3;0;750;В;4,9
6 октября;7;0;747;СВ;4,2
7 октября;8,3;0;751;С;2,3
8 октября;10;0,5;747;С;5,2
9 октября;11;2,1;751;СЗ;7,9
10 октября;10,9;0,4;747;СВ;6,2
11 октября;11,4;0;751;В;5,4
12 октября;9,9;0;754;С;4,6
13 октября;8,2;0;759;С;7,3
14 октября;8,9;0;763;СЗ;5,1
15 октября;2,5;0,8;760;С;2,7
16 октября;-0,2;0;762;З;0,9
17 октября;5,3;0;757;З;0,1
18 октября;9,4;0;761;З;1,7
19 октября;10,6;3,5;760;З;1,7
20 октября;7,9;8,6;759;Ю;3,3
21 октября;4,5;1;762;ЮЗ;1,9
22 октября;0,6;0,6;760;З;2,1
23 октября;-0,1;0;763;Ю;1,3
24 октября;4,8;0;759;Ю;0,8
25 октября;5,4;0;757;В;0,1
26 октября;6,8;0;756;В;1,2
27 октября;4,7;0;756;ЮВ;0,6
28 октября;6,5;0;760;СВ;0,1
29 октября;6,3;0,1;759;В;1,3
30 октября;2,6;0;760;Ю;4,1
31 октября;2,9;1;758;ЮЗ;1,7
1 ноября;-3,4;0,4;753;ЮЗ;0,1
2 ноября;-3,6;8,5;750;Ю;0,1
3 ноября;1,9;12,2;746;ЮЗ;0,1
4 ноября;-2;1,5;747;З;1,6
5 ноября;-3,9;1,3;748;СЗ;0,7
6 ноября;-3,4;0,3;746;С;0,4
7 ноября;-2,3;0,4;749;СЗ;3,2
8 ноября;-1,7;6,5;746;С;4
9 ноября;-2,9;15,5;742;СЗ;4,5
10 ноября;-3,7;3,3;740;З;3,2
11 ноября;-8,5;0;740;З;1,5
12 ноября;-6,7;0,7;741;З;0,1
13 ноября;-6,8;3;740;З;1,6
14 ноября;0,3;1,8;743;СЗ;3,7
15 ноября;0,2;0;741;З;2,7
16 ноября;1,6;0;740;СЗ;3,9
17 ноября;2,1;5,8;741;СЗ;4
18 ноября;3,7;6,8;740;С;4
19 ноября;0,5;6,3;740;С;6,8
20 ноября;-3,3;0;741;В;6,2
21 ноября;-5,4;0;743;СВ;8,3
22 ноября;-8,5;0;748;В;8,2
23 ноября;-4,5;0;747;ЮВ;9,3
24 ноября;-4,8;0;748;ЮЗ;6,4
25 ноября;-1,6;0;747;ЮВ;8,4
26 ноября;2,1;0;742;Ю;7,6
27 ноября;2,3;0;747;ЮЗ;9,6
28 ноября;-1,8;3,1;748;Ю;7,3
29 ноября;-10,6;0;746;ЮВ;7,8
30 ноября;-9,8;0,2;745;ЮВ;9,6
1 декабря;-4,4;0,7;743;В;8,1
2 декабря;-1,7;0;742;В;9,1
3 декабря;-8,1;0,2;743;ЮВ;8,5
4 декабря;-11,3;0,3;746;Ю;7,5
5 декабря;-16,4;0;749;Ю;6,4
6 декабря;-9,4;0,8;748;ЮЗ;7,3
7 декабря;-3,9;0;745;З;8,2
8 декабря;-5,2;0;746;Ю;9
9 декабря;-6,9;0;743;ЮВ;9,4
10 декабря;-5,5;0,2;742;Ю;8,3
11 декабря;-4,4;0,3;745;ЮЗ;8,5
12 декабря;-4,2;0;742;З;7,7
13 декабря;-4,4;0;740;ЮЗ;7,1
14 декабря;-4,7;0,7;745;З;7,3
15 декабря;-8,2;2,6;742;ЮЗ;6,3
16 декабря;-11,4;0,4;740;Ю;8,4
17 декабря;-3,4;3,9;743;ЮВ;9,8
18 декабря;-4;0,4;745;ЮВ;7,5
19 декабря;-11,1;0,3;754;Ю;8,4
20 декабря;-15,8;3,4;762;З;8,2
21 декабря;-7,6;1,3;759;ЮЗ;9,5
22 декабря;-10,6;0,6;747;З;8,7
23 декабря;-14,9;0;745;ЮЗ;9,8
24 декабря;-9,2;13,7;744;ЮЗ;8,6
25 декабря;-13,9;0,4;748;ЮЗ;9,5
26 декабря;-13,4;5,6;746;СЗ;8,1
27 декабря;-13,8;0,8;744;З;8,3
28 декабря;-18,5;0;744;С;9,3
29 декабря;-15,8;0,2;741;С;7,3
30 декабря;-16,4;0;740;СВ;6,4
31 декабря;-16,2;0;742;ЮВ;5,2
